EmpID,Employee,Department,City,Age,Experience,Salary,Bonus,Sales_Q1,Sales_Q2,TotalIncome,Updated_Bonus,AnnualSalary,TotalSales
1035,Nina,Support,Bengaluru,45,5,63281,12767,20604,76644,76048,11843.7,735372,97248
1036,Sara,HR,Chennai,33,8,67000,4526,75739,81075,71526,2778.6,780000,156814
1037,Uma,Finance,Kochi,40,1,53012,10332,44828,23209,63344,9165.2,612144,68037
1038,Ian,Finance,Mumbai,35,12,59851,4711,16700,80117,64562,2982.1,694212,96817
1039,Frank,HR,Delhi,30,17,42874,12703,40435,54682,55577,11773.3,490488,95117
1040,Priya,Sales,Mumbai,31,17,38039,5691,73027,86429,43730,4060.1,432468,159456
1041,Sara,Finance,Mumbai,38,3,73647,10428,68269,73793,84075,9270.8,859764,142062
1042,David,IT,Hyderabad,35,14,65901,9840,35165,79647,75741,8624.0,766812,114812
1043,Eva,HR,Mumbai,29,2,48022,7410,24625,67907,55432,5951.0,552264,92532
1044,Alice,IT,Bengaluru,42,11,67843,4490,20484,47313,72333,2739.0,790116,67797
1045,Nina,Support,Chennai,27,10,39387,8629,57574,42788,48016,7291.9,448644,100362
1046,Rahul,IT,Kochi,33,5,62532,7685,69301,44104,70217,6253.5,726384,113405
1047,Rahul,Support,Bengaluru,34,18,44383,10391,25101,80134,54774,9230.1,508596,105235
1048,Bob,Finance,Mumbai,37,4,40256,5998,75306,61253,46254,4397.8,459072,136559
1049,Sara,Marketing,Delhi,36,17,55134,8730,62551,42967,63864,7403.0,637608,105518
1050,Maya,IT,Delhi,38,4,70851,9322,25848,41994,80173,8054.2,826212,67842
1051,Maya,HR,Bengaluru,26,16,41212,4087,36307,26312,45299,2295.7,470544,62619
1052,Karen,IT,Delhi,26,8,61989,11048,41322,68040,73037,9952.8,719868,109362
1053,Bob,IT,Mumbai,25,15,77593,5479,32606,20397,83072,3826.9,907116,53003
1054,Leo,Sales,Mumbai,29,8,83431,11066,59755,33744,94497,9972.6,977172,93499
1055,Charlie,Support,Delhi,31,11,75853,10565,60292,45002,86418,9421.5,886236,105294
1056,Bob,IT,Hyderabad,24,4,48362,8719,45732,31398,57081,7390.9,556344,77130
1057,Sara,IT,Hyderabad,42,18,49253,10895,87768,63201,60148,9784.5,567036,150969
1058,Leo,Support,Mumbai,35,2,71495,8740,60856,56087,80235,7414.0,833940,116943
1059,Alice,Finance,Hyderabad,22,10,37235,10201,39073,57682,47436,9021.1,422820,96755
1060,Oscar,IT,Kochi,41,18,45023,10538,24254,40123,55561,9391.8,516276,64377
